bus_code,hour,scen,powerConsumption
18,5,1,0.08499999995068278
18,6,1,0.08362309495047283
18,7,1,0.03228949995219903
18,8,1,-0.04695000004970434
18,9,1,-0.13313950004749608
18,10,1,-0.19624600004743986
18,11,1,-0.23879050004933863
18,12,1,-0.2484925000493142
18,13,1,-0.24605300004748795
18,14,1,-0.22657550004937124
18,15,1,-0.17864500004757009
18,16,1,-0.10200650004944548
18,17,1,-0.006546500049534853
18,18,1,0.07648124995171864
18,19,1,0.0849999999505533
18,20,1,0.08499999995136069
18,21,1,0.08499999995147621
18,22,1,0.08499999995102847
18,23,1,0.08499999995131426
18,24,1,0.08499999995106398
19,1,1,-3.305758791705138e-10
19,2,1,-4.371682876813665e-10
19,3,1,-4.0472950511849515e-10
19,4,1,-2.809716643376037e-10
19,5,1,-2.4832911768579713e-10
19,6,1,-4.910388866352644e-10
19,7,1,0.0
19,8,1,-3.5251208202469186e-10
19,9,1,-3.4742184303049317e-10
19,10,1,-1.2235231786061895e-9
19,11,1,-1.2089860362829441e-11
19,12,1,0.0
19,13,1,-1.637096222473211e-10
19,14,1,-1.2501787799434894e-10
19,15,1,-3.1357534624465444e-11
19,16,1,0.0
19,17,1,0.0
19,18,1,-1.8021710512794442e-10
19,19,1,0.0
19,20,1,0.0
19,21,1,0.0
19,22,1,0.0
19,23,1,0.0
19,24,1,-7.096810714706469e-10
21,1,1,0.08499999907109879
21,2,1,0.08499999337095199
21,3,1,0.08499999804995961
21,4,1,0.08499999275902526
21,5,1,0.085
21,6,1,0.085
21,7,1,0.085
21,8,1,0.08499999668170477
21,9,1,0.08499999343772002
21,10,1,0.08499999341992182
21,11,1,0.08499999229650468
21,12,1,0.08499999935165903
21,13,1,0.085
21,14,1,0.08499999644518863
21,15,1,0.085
21,16,1,0.085
21,17,1,0.08499999799198754
21,18,1,0.085
21,19,1,0.08499999829583893
21,20,1,0.08499999613312426
21,21,1,0.08499999921582702
21,22,1,0.085
21,23,1,0.08499999690270732
21,24,1,0.08499999730833552
23,1,1,0.0
23,2,1,-3.3828004841751635e-9
23,3,1,-1.4113998858533705e-10
23,4,1,-1.7581387456999664e-9
23,5,1,0.0
23,6,1,0.0
23,7,1,0.0
23,8,1,-4.88152696043187e-9
23,9,1,0.0
23,10,1,0.0
23,11,1,0.0
23,12,1,-5.0459667555458054e-9
