circuit_code,hour,scen,flow
1,18,4,0.06617944404250908
1,18,5,0.06611113427689674
1,18,6,0.06622517860061557
1,18,7,0.06611090170926719
1,18,8,0.06614354237739853
1,18,9,0.06611089457446664
1,18,10,0.06621512681752688
1,19,1,0.0661112614787847
1,19,2,0.06611088922953712
1,19,3,0.06611092090792192
1,19,4,0.06617944618267702
1,19,5,0.0661111342952501
1,19,6,0.06622520620829342
1,19,7,0.06611090170880242
1,19,8,0.06614354345201073
1,19,9,0.06611089457699018
1,19,10,0.06621513781443059
1,20,1,0.06611126148532816
1,20,2,0.06611088923174636
1,20,3,0.06611092092999363
1,20,4,0.06617945073513164
1,20,5,0.06611113431316208
1,20,6,0.06622522621611027
1,20,7,0.06611090171927296
1,20,8,0.06614354734643717
1,20,9,0.06611089457629755
1,20,10,0.06621514080749298
1,21,1,0.06611126149770273
1,21,2,0.06611088923250738
1,21,3,0.06611092093681922
1,21,4,0.0661794637851613
1,21,5,0.0661111343410493
1,21,6,0.0662252743108582
1,21,7,0.06611090171986374
1,21,8,0.06614355291108154
1,21,9,0.06611089457008007
1,21,10,0.06621517101207068
1,22,1,0.06611126150213892
1,22,2,0.06611088923877513
1,22,3,0.06611092095679814
1,22,4,0.06617948208220356
1,22,5,0.06611113437274226
1,22,6,0.06622533421024664
1,22,7,0.06611090171860419
1,22,8,0.06614355705396606
1,22,9,0.0661108945787022
1,22,10,0.06621519295550801
1,23,1,0.06611155956895237
1,23,2,0.06611088923877328
1,23,3,0.06611092097427783
1,23,4,0.06617953289508768
1,23,5,0.06611113442076028
1,23,6,0.06622543253607949
1,23,7,0.06611090172129538
1,23,8,0.06614356645076376
1,23,9,0.0661108945783605
1,23,10,0.06621526735417757
1,24,1,0.0661115597794736
1,24,2,0.06611088929806955
1,24,3,0.06611092105924898
1,24,4,0.06617960569935981
1,24,5,0.06611113443279715
1,24,6,0.06622564181180127
1,24,7,0.06611090173040919
1,24,8,0.0661435909354119
1,24,9,0.06611089457817496
1,24,10,0.06621541631608908
2,1,1,0.08770450315246872
2,1,2,0.08770302945378758
2,1,3,0.08770314400333813
2,1,4,0.08795288739312938
2,1,5,0.08770399873881639
2,1,6,0.0881082476793795
2,1,7,0.08770306024528594
2,1,8,0.08782632239949804
2,1,9,0.08770305341177197
2,1,10,0.08807610621337036
2,2,1,0.08770450271253477
2,2,2,0.08770303154067853
2,2,3,0.08770314400036265
2,2,4,0.08795313044409675
2,2,5,0.08770399880485767
2,2,6,0.088108225589396
2,2,7,0.08770307838957168
2,2,8,0.08782627154405409
2,2,9,0.08770305343672648
2,2,10,0.08807577841837616
2,3,1,0.08770450280075887
2,3,2,0.08770303154681888
2,3,3,0.08770314398806217
2,3,4,0.08795326053385481
2,3,5,0.0877039988827317
2,3,6,0.08810848239800906
2,3,7,0.08770307844736788
2,3,8,0.08782626415849867
2,3,9,0.08770305340922764
2,3,10,0.08807569385284032
2,4,1,0.08770450291350483
2,4,2,0.0877030315592262
2,4,3,0.08770314401014942
2,4,4,0.08795335639051043
2,4,5,0.08770399890519036
2,4,6,0.08810854219598038
2,4,7,0.08770308136136631
2,4,8,0.08782628645944515
2,4,9,0.08770305340445038
2,4,10,0.08807569697353096
2,5,1,0.08770450258325323
2,5,2,0.08770303159241552
2,5,3,0.08770314396697672
2,5,4,0.08795330942757887
2,5,5,0.08770399893661585
2,5,6,0.08810851384868258
2,5,7,0.087703081399141
2,5,8,0.08782626405642092
2,5,9,0.08770305341846925
2,5,10,0.08807564597997172
2,6,1,0.08770450265353091
2,6,2,0.08770303229319928
2,6,3,0.08770314397955621
2,6,4,0.08795319197826344
2,6,5,0.08770399903609649
2,6,6,0.08810874934647149
2,6,7,0.08770308140503187
2,6,8,0.08782626939432968
2,6,9,0.08770305341028109
2,6,10,0.08807567218321943
2,7,1,0.08770450254601944
2,7,2,0.08770303228241853
2,7,3,0.0877031439787113
2,7,4,0.08795312981728087
2,7,5,0.08770399928472213
2,7,6,0.08810895849504827
2,7,7,0.08770308140660617
2,7,8,0.08782627550647719
2,7,9,0.08770305341040445
2,7,10,0.0880756865807525
2,8,1,0.08770450263950685
2,8,2,0.08770303230941218
2,8,3,0.08770314399238395
2,8,4,0.0879531571124925
2,8,5,0.08770399945367204
2,8,6,0.08810915909902742
2,8,7,0.08770308140428805
2,8,8,0.08782628397144461
2,8,9,0.0877030534093569
2,8,10,0.08807564105174734
2,9,1,0.08770450267111235
2,9,2,0.08770303231052722
2,9,3,0.08770314396793114
2,9,4,0.08795320611828905
2,9,5,0.08770399956589822
2,9,6,0.08810935638896439
2,9,7,0.08770308138967431
2,9,8,0.08780655188719576
2,9,9,0.08770305340264359
2,9,10,0.08807567292870785
2,10,1,0.08770450275585888
2,10,2,0.08770303232702494
2,10,3,0.08770314397316577
2,10,4,0.08795324088868635
2,10,5,0.08770399967765187
2,10,6,0.08810949746184031
2,10,7,0.0877030814191595
2,10,8,0.08782629174877003
2,10,9,0.0877030534216226
2,10,10,0.08807565350534456
2,11,1,0.08770450274600268
2,11,2,0.08770303252991046
2,11,3,0.08770314397783949
2,11,4,0.08795327303364409
2,11,5,0.08770399975636639
2,11,6,0.08810966363914682
2,11,7,0.08770308142553083
2,11,8,0.08782629622543857
2,11,9,0.08770305340817401
2,11,10,0.0880756888102937
2,12,1,0.08770450277349151
2,12,2,0.08770303250369489
2,12,3,0.08770314400171965
2,12,4,0.0879533040679555
2,12,5,0.08770399987723462
2,12,6,0.08810980179021198
2,12,7,0.08770308143779286
2,12,8,0.08782630244824353
2,12,9,0.08770305341997804
2,12,10,0.08807573697919278
2,13,1,0.08770450278633393
2,13,2,0.08770303271630894
2,13,3,0.08770314398645611
2,13,4,0.08795332552412356
2,13,5,0.08770399999214501
2,13,6,0.0881099303490289
2,13,7,0.08770308147082202
2,13,8,0.08782630962638434
2,13,9,0.0877030534284034
2,13,10,0.0880758023159508
2,14,1,0.08770450285157873
2,14,2,0.08770303274139393
2,14,3,0.08770314400663001
2,14,4,0.08795333478498737
2,14,5,0.08770400038556207
2,14,6,0.08811003190348163
2,14,7,0.08770308146158658
2,14,8,0.08782632299169871
2,14,9,0.08770305342692301
2,14,10,0.08807587448495734
2,15,1,0.08770450291193486
2,15,2,0.08770303277533421
2,15,3,0.0877031440025759
2,15,4,0.08795334177420468
2,15,5,0.08770400053868156
2,15,6,0.08811014866696872
2,15,7,0.08770308146033345
2,15,8,0.08782633202635269
2,15,9,0.08770305341553823
2,15,10,0.0880759606769886
2,16,1,0.08770450290996368
2,16,2,0.08770303276592983
2,16,3,0.08770314401203641
2,16,4,0.08795335652158133
2,16,5,0.08770400072622098
2,16,6,0.08811023171566709
2,16,7,0.08770308147687292
2,16,8,0.08782634884112218
2,16,9,0.0877030534337836
2,16,10,0.08807601252527149
2,17,1,0.0877045030526862
2,17,2,0.08770303277881214
2,17,3,0.08770314401976907
2,17,4,0.0879534023122292
2,17,5,0.08770400080832014
2,17,6,0.08811034385256719
2,17,7,0.08770308148989821
2,17,8,0.0878263717319756
2,17,9,0.0877030534442663
2,17,10,0.08807608251368096
2,18,1,0.0877045030887928
2,18,2,0.08770303278078918
2,18,3,0.08770314404644144
2,18,4,0.08795343771111296
2,18,5,0.0877040008654694
2,18,6,0.08811045983225844
2,18,7,0.08770308148861578
2,18,8,0.08782638435622354
2,18,9,0.08770305343649873
2,18,10,0.08807611730859236
2,19,1,0.08770450314785566
2,19,2,0.08770303276550716
2,19,3,0.08770315586234478
2,19,4,0.08795346593922093
2,19,5,0.08770400093495578
2,19,6,0.08811059146951351
2,19,7,0.08770308146969039
2,19,8,0.08782639632330441
2,19,9,0.08770305344027537
2,19,10,0.08807618714484922
2,20,1,0.08770450322558139
2,20,2,0.08770303278405268
2,20,3,0.08770315594340315
2,20,4,0.08795350095168168
2,20,5,0.08770400106562956
2,20,6,0.08811069528006113
2,20,7,0.08770308150602253
2,20,8,0.08782641182613003
2,20,9,0.08770305346674387
2,20,10,0.08807622504286632
2,21,1,0.08770450335085161
2,21,2,0.08770303280365559
2,21,3,0.08770315598742641
2,21,4,0.0879535650888465
2,21,5,0.08770400118218842
2,21,6,0.0881108904294134
2,21,7,0.0877030814915372
2,21,8,0.08782644058212465
2,21,9,0.087703053454957
2,21,10,0.08807635922407847
2,22,1,0.08770450321547943
2,22,2,0.08770303281083187
2,22,3,0.08770315603603913
2,22,4,0.08795364012365002
2,22,5,0.08770400122797944
2,22,6,0.08811102730662818
2,22,7,0.08770308150656725
2,22,8,0.08782644336473225
2,22,9,0.08770305345253528
2,22,10,0.08807639587021608
2,23,1,0.0877056797377148
2,23,2,0.08770303279399762
2,23,3,0.08770315610201783
2,23,4,0.08795380861605577
2,23,5,0.08770400151006288
2,23,6,0.08811143976441599
2,23,7,0.08770308152521467
2,23,8,0.08782649590024699
2,23,9,0.08770305347412508
2,23,10,0.08807671694892308
2,24,1,0.08770568091155007
2,24,2,0.08770303306782343
2,24,3,0.08770315644208546
2,24,4,0.08795414202198558
2,24,5,0.08770400155557305
2,24,6,0.08811225104472062
2,24,7,0.08770308155460456
2,24,8,0.08782660574596773
2,24,9,0.0877030431926445
2,24,10,0.08807730194115948
3,1,1,-0.1748163799617313
3,1,2,-0.17481393264069692
3,1,3,-0.17481412254892228
3,1,4,-0.17522269292013953
3,1,5,-0.17481554249794232
3,1,6,-0.17547398848470117
3,1,7,-0.17481398381222754
3,1,8,-0.17501665998699545
3,1,9,-0.1748139722779851
3,1,10,-0.17542247152682838
3,2,1,-0.17481637953873655
3,2,2,-0.1748139362210975
3,2,3,-0.17481412251634457
3,2,4,-0.17522311510442615
3,2,5,-0.17481554275330552
3,2,6,-0.17547393042688875
3,2,7,-0.17481401376328687
3,2,8,-0.17501658915563537
3,2,9,-0.17481397226385134
3,2,10,-0.1754218688989168
3,3,1,-0.17481637954868467
3,3,2,-0.17481393598255343
3,3,3,-0.1748141225032267
3,3,4,-0.17522334225903707
3,3,5,-0.17481554267396707
3,3,6,-0.17547435534794528
3,3,7,-0.17481401391272597
3,3,8,-0.17501657765707293
3,3,9,-0.1748139721664313
3,3,10,-0.17542183649918838
3,4,1,-0.17481637983643894
3,4,2,-0.1748139360338858
3,4,3,-0.17481412248196512
3,4,4,-0.17522350099477627
3,4,5,-0.17481554275179767
3,4,6,-0.17547455674335946
3,4,7,-0.1748140186830481
3,4,8,-0.17501661483495265
3,4,9,-0.17481397225599407
3,4,10,-0.17542184525149268
3,5,1,-0.17481637931651162
3,5,2,-0.17481393619233432
3,5,3,-0.1748141224836751
3,5,4,-0.1752234943083549
3,5,5,-0.17481554305609223
3,5,6,-0.17547471466802575
3,5,7,-0.17481401869140445
3,5,8,-0.1750166079410133
3,5,9,-0.1748139722639001
3,5,10,-0.17542185129365323
3,6,1,-0.17481637934361952
3,6,2,-0.17481393745090232
3,6,3,-0.1748141224508556
3,6,4,-0.17522331751175968
3,6,5,-0.17481554310729916
3,6,6,-0.17547501517287167
3,6,7,-0.17481401882971706
3,6,8,-0.17501658766742878
3,6,9,-0.17481397229980647
3,6,10,-0.17542179964983493
3,7,1,-0.1748163791939515
3,7,2,-0.17481393737737086
3,7,3,-0.1748141224600431
3,7,4,-0.17522324545369422
3,7,5,-0.174815543523816
3,7,6,-0.17547536987898296
3,7,7,-0.17481401881129596
3,7,8,-0.1750165996047213
3,7,9,-0.17481397221330236
3,7,10,-0.1754218268914253
3,8,1,-0.17481637940199965
3,8,2,-0.17481393731624545
3,8,3,-0.17481412247780567
3,8,4,-0.17522330370193132
3,8,5,-0.1748155438109231
3,8,6,-0.1754757083125538
3,8,7,-0.17481401882026126
3,8,8,-0.17501661680840763
3,8,9,-0.17481397233931084
3,8,10,-0.1754217639665246
3,9,1,-0.17481637952151305
3,9,2,-0.17481393736476608
3,9,3,-0.1748141224403012
3,9,4,-0.17522339390805222
3,9,5,-0.1748155439886575
