circuit_code,hour,scen,flow
1,1,1,0.06611087904056592
1,1,2,0.06639269717083045
1,1,3,0.06611087902845349
1,1,4,0.06611087904477476
1,1,5,0.06611087902185843
1,1,6,0.0661108790521052
1,1,7,0.06611087905086335
1,1,8,0.06906826469421196
1,1,9,0.06611087903219842
1,1,10,0.06611087903353163
1,2,1,0.06611087908152209
1,2,2,0.06611087903686952
1,2,3,0.06611087904578972
1,2,4,0.0661108790353272
1,2,5,0.06611087902277664
1,2,6,0.06611087903278529
1,2,7,0.0661108791086938
1,2,8,0.0661108790299155
1,2,9,0.0661108790983924
1,2,10,0.06611087909047637
1,3,1,0.06611087907263613
1,3,2,0.06611087904198137
1,3,3,0.0661108790337687
1,3,4,0.06611087907066666
1,3,5,0.06611087904933001
1,3,6,0.06611087904134526
1,3,7,0.06611087905998746
1,3,8,0.0661108790109491
1,3,9,0.0661108790595175
1,3,10,0.06611087904999495
1,4,1,0.06611087906426612
1,4,2,0.0661108791006004
1,4,3,0.06611087907699396
1,4,4,0.06611087905589627
1,4,5,0.06611087901539242
1,4,6,0.06611087904221917
1,4,7,0.06611087904192253
1,4,8,0.06611087898115323
1,4,9,0.06611087907396793
1,4,10,0.06611087903967004
1,5,1,0.06611087913177505
1,5,2,0.06611087917383635
1,5,3,0.06611087903110108
1,5,4,0.06611087902713715
1,5,5,0.06611087904060466
1,5,6,0.06611087913474555
1,5,7,0.06611087903639817
1,5,8,0.06611087899500402
1,5,9,0.06611087915053727
1,5,10,0.06611087900558799
1,6,1,0.06611087902359528
1,6,2,0.06611088782010921
1,6,3,0.0661108790267683
1,6,4,0.06611087903211148
1,6,5,0.06611087903630002
1,6,6,0.06611087902601395
1,6,7,0.0661108799610194
1,6,8,0.06611087900768704
1,6,9,0.06611087903230942
1,6,10,0.06611801282898326
1,7,1,0.0661108790327559
1,7,2,0.06647847353296286
1,7,3,0.06611087902678445
1,7,4,0.06611087902337474
1,7,5,0.0661108790651975
1,7,6,0.06611087903677539
1,7,7,0.06620223448452607
1,7,8,0.0661108789863044
1,7,9,0.06611087901781415
1,7,10,0.06661977648019846
1,8,1,0.0661108790270229
1,8,2,0.06631435532553884
1,8,3,0.06611087902245466
1,8,4,0.06611087902831285
1,8,5,0.06611087903614483
1,8,6,0.06611087901874785
1,8,7,0.06611087943992741
1,8,8,0.08621711870436366
1,8,9,0.066110879028237
1,8,10,0.06611087897961114
1,9,1,0.06611087902461067
1,9,2,0.06791645895196087
1,9,3,0.06611087902812614
1,9,4,0.0661108790273232
1,9,5,0.06678551605221578
1,9,6,0.06611087905857327
1,9,7,0.06611087904220736
1,9,8,0.0661108789964434
1,9,9,0.06611087907030944
1,9,10,0.06611087903475829
1,10,1,0.06611087904933516
1,10,2,0.0661108790405283
1,10,3,0.06611087906086902
1,10,4,0.06611087905950878
1,10,5,0.0661108790491455
1,10,6,0.06611087903575535
1,10,7,0.06611087905325089
1,10,8,0.06611087921336291
1,10,9,0.06611087904731895
1,10,10,0.06611087902331196
1,11,1,0.0661108790621731
1,11,2,0.06611087906129993
1,11,3,0.06611087906869485
1,11,4,0.06611087905912351
1,11,5,0.06611087906065462
1,11,6,0.06611087904991718
1,11,7,0.06611087905061552
1,11,8,0.06611087908669064
1,11,9,0.06611087906381319
1,11,10,0.0661108790536433
1,12,1,0.06611087906464656
1,12,2,0.06611087906203321
1,12,3,0.06611087906213467
1,12,4,0.06611087907432835
1,12,5,0.06611087906875615
1,12,6,0.06611087906472836
1,12,7,0.06611087907065683
1,12,8,0.06611087908883591
1,12,9,0.0661108790624104
1,12,10,0.06611087907388599
1,13,1,0.06611087907342593
1,13,2,0.06611087907759784
1,13,3,0.06611087906987756
1,13,4,0.06611087906805678
1,13,5,0.06611087905458084
1,13,6,0.06611087906098448
1,13,7,0.06611087905879363
1,13,8,0.06611087906103755
1,13,9,0.066110879048956
1,13,10,0.06611087905760064
1,14,1,0.06611087906436128
1,14,2,0.06611087905771076
1,14,3,0.06611087905353578
1,14,4,0.06611087905928827
1,14,5,0.06611087905667534
1,14,6,0.06611087905950849
1,14,7,0.06611087906544019
1,14,8,0.06611087907197642
1,14,9,0.06611087905889555
1,14,10,0.06611087905501664
1,15,1,0.06611087904998218
1,15,2,0.06611087904868189
1,15,3,0.06611087906705373
1,15,4,0.06611087906466484
1,15,5,0.06611087905409596
1,15,6,0.06611087904369904
1,15,7,0.066110879054244
1,15,8,0.06611087926568171
1,15,9,0.06611087905173904
1,15,10,0.06611087903962932
1,16,1,0.06611087902720643
1,16,2,0.0661108790234692
1,16,3,0.06611087949740627
1,16,4,0.06611087947256808
1,16,5,0.06611087904091822
1,16,6,0.06611087903372226
1,16,7,0.06611087904482738
1,16,8,0.0661108789850956
1,16,9,0.06611087903902646
1,16,10,0.0661108790481573
1,17,1,0.06611087901852045
1,17,2,0.06636294791909986
1,17,3,0.0661108791077053
1,17,4,0.06611087907689661
1,17,5,0.06611087901432458
1,17,6,0.06611087903161264
1,17,7,0.06674849820011068
1,17,8,0.06771247645131817
1,17,9,0.06611087901346495
1,17,10,0.06611087899454762
1,18,1,0.0661452159078288
1,18,2,0.06611087909757019
1,18,3,0.06612629341332914
1,18,4,0.06615211316898782
1,18,5,0.06611087899699707
1,18,6,0.06611087900114307
1,18,7,0.0661108789820977
1,18,8,0.06676670214956927
1,18,9,0.0661108789956766
1,18,10,0.06613474997807833
1,19,1,0.06611087903761141
1,19,2,0.06611087902612083
1,19,3,0.09694104748543518
1,19,4,0.06611087902710808
1,19,5,0.0661108790490896
1,19,6,0.06611087896350536
1,19,7,0.06611087902335017
1,19,8,0.06703668917742141
1,19,9,0.06611087903125129
1,19,10,0.06611087900237896
1,20,1,0.06611087902762132
1,20,2,0.0661108790343243
1,20,3,0.06611087902127709
1,20,4,0.066110879031701
1,20,5,0.06611087901123006
1,20,6,0.06611087902303642
1,20,7,0.06611087901992958
1,20,8,0.06611087902402495
1,20,9,0.06611087903922075
1,20,10,0.06611087902293142
1,21,1,0.06611087898572784
1,21,2,0.06766692638555413
1,21,3,0.06611087897843416
1,21,4,0.06611087899100794
1,21,5,0.0661108790356301
1,21,6,0.06766198794771792
1,21,7,0.0676662542491913
1,21,8,0.0676710289294989
1,21,9,0.06763537340781613
1,21,10,0.06621501323624177
1,22,1,0.06611087915605872
1,22,2,0.06643919712154547
1,22,3,0.06611087900309538
1,22,4,0.06611087901639168
1,22,5,0.06611087915868942
1,22,6,0.06611087909099707
