circuit_code,hour,scen,losses
1,1,1,0.00011087904074903883
1,1,2,0.00011087906990797065
1,1,3,0.00011087904113351224
1,1,4,0.00011087904070822595
1,1,5,0.0001108790395721358
1,1,6,0.00011087903951946919
1,1,7,0.00011087904873565956
1,1,8,0.0022307587045231076
1,1,9,0.00011087903757105771
1,1,10,0.00011087905692180002
1,2,1,0.00011087904079457779
1,2,2,0.00011087906988426434
1,2,3,0.00011087904128442368
1,2,4,0.00011087904064288948
1,2,5,0.00011087903948425749
1,2,6,0.00011087903918127806
1,2,7,0.00011087904871805019
1,2,8,0.0013741439756134492
1,2,9,0.00011087903750759395
1,2,10,0.00011087905692410345
1,3,1,0.00011087904083952749
1,3,2,0.00011087906986033127
1,3,3,0.00011087904113151007
1,3,4,0.00011087904040683694
1,3,5,0.0001108790394657118
1,3,6,0.0001108790391983514
1,3,7,0.00011087904878798414
1,3,8,0.0014688121408725273
1,3,9,0.00011087903761215138
1,3,10,0.00011087905694014854
1,4,1,0.00011087904080759219
1,4,2,0.00011087906983051654
1,4,3,0.00011087904121721824
1,4,4,0.0001108790406213646
1,4,5,0.00011087903938787199
1,4,6,0.00011087903925325799
1,4,7,0.00011087904880612401
1,4,8,0.0014555419133801786
1,4,9,0.00011087903752421288
1,4,10,0.00011087905692899085
1,5,1,0.00011087904082950883
1,5,2,0.00011087906984762648
1,5,3,0.00011087904146882426
1,5,4,0.00011087904062117666
1,5,5,0.00011087903940972297
1,5,6,0.00011087903912593034
1,5,7,0.00011087904883973994
1,5,8,0.0012991041087187395
1,5,9,0.00011087903596424235
1,5,10,0.00011087905693422388
1,6,1,0.00011087904081039908
1,6,2,0.00011087906979162427
1,6,3,0.0001108790414519733
1,6,4,0.0001108790406472869
1,6,5,0.00011087903934470663
1,6,6,0.00011087903920421501
1,6,7,0.00011087905099398481
1,6,8,0.0012805137643523137
1,6,9,0.00011087903331191493
1,6,10,0.00011087905706058822
1,7,1,0.0001108790408148763
1,7,2,0.00011087906985008316
1,7,3,0.00011087904138906907
1,7,4,0.0001108790406640063
1,7,5,0.00011087903944102792
1,7,6,0.00011087903972622695
1,7,7,0.00011087905213856084
1,7,8,0.0012775797376262334
1,7,9,0.00011087903334539741
1,7,10,0.0001108790570355535
1,8,1,0.00011087904080621451
1,8,2,0.0001108790700573515
1,8,3,0.00011087904118878622
1,8,4,0.000110879040325191
1,8,5,0.00011087904072995171
1,8,6,0.00011087903973722746
1,8,7,0.00011087905166686501
1,8,8,0.019805225652055683
1,8,9,0.00011087903337722252
1,8,10,0.00011087905706547806
1,9,1,0.00011087904099579616
1,9,2,0.00011087903997132411
1,9,3,0.00011087904145745564
1,9,4,0.0001108790408361163
1,9,5,0.00011087904106383188
1,9,6,0.00011087903991556416
1,9,7,0.00011087905024921082
1,9,8,0.006764697589426859
1,9,9,0.00011088038987506676
1,9,10,0.000110879055711766
1,10,1,0.00011087905333332928
1,10,2,0.0001108790451013062
1,10,3,0.00011087905256078172
1,10,4,0.00011087905146468929
1,10,5,0.00011087905427551737
1,10,6,0.00011087904459237234
1,10,7,0.00011087905600729285
