codes,2,4,1,3
hours,bus85,bus18,bus114,bus60
1/2017,0.2698,0.2698,0.0,0.0
1/2017,0.2874,0.2874,0.0,0.0
1/2017,0.2965,0.2965,0.0,0.0
1/2017,0.2874,0.2874,0.0014958698255961016,0.0014951935889050084
1/2017,0.2723,0.2723,0.07650782848346895,0.07650782848346895
1/2017,0.2661,0.2661,0.20423508153149972,0.20423508153149972
1/2017,0.2356,0.2356,0.3300648963235876,0.3300648963235876
1/2017,0.2157,0.2157,0.4257397618171346,0.4257397618171346
1/2017,0.1936,0.1936,0.49034426853425483,0.49034426853425483
1/2017,0.1420,0.1420,0.5203359977615905,0.5203359977615905
1/2017,0.1248,0.1248,0.5581222551950966,0.5581222551950966
1/2017,0.1336,0.1336,0.5056831173856148,0.5056831173856148
1/2017,0.1360,0.1360,0.3976044830729401,0.3976044830729402
1/2017,0.1344,0.1344,0.2586896287533181,0.2586896287533181
1/2017,0.1464,0.1464,0.10790756847826284,0.10790756847826284
1/2017,0.1677,0.1677,0.007477385199796305,0.007477953705323977
1/2017,0.1834,0.1834,0.0,0.0
1/2017,0.1967,0.1967,0.0,0.0
1/2017,0.2125,0.2125,0.0,0.0
1/2017,0.2424,0.2424,0.0,0.0
1/2017,0.2823,0.2823,0.0,0.0
1/2017,0.3126,0.3126,0.0,0.0
1/2017,0.3278,0.3278,0.0,0.0
1/2017,0.3522,0.3522,0.0,0.0
1/2017,0.3992,0.3992,0.0,0.0
1/2017,0.4836,0.4836,0.0,0.0
1/2017,0.5191,0.5191,0.0,0.0
1/2017,0.5345,0.5345,0.0019434677774238394,0.00194254359793504
1/2017,0.5899,0.5899,0.10236296803167386,0.10236296803167386
1/2017,0.7128,0.7128,0.2753097297202771,0.2753097297202771
1/2017,0.6988,0.6988,0.42145237784077283,0.42145237784077283
1/2017,0.6408,0.6408,0.5113939622181574,0.5113939622181574
1/2017,0.5742,0.5742,0.5347686925931303,0.5347686925931303
1/2017,0.5140,0.5140,0.5316138047875345,0.5316138047875345
1/2017,0.4802,0.4802,0.4558285417605808,0.4558285417605808
1/2017,0.4769,0.4769,0.3866409718510558,0.3866409718510558
1/2017,0.4936,0.4936,0.3061589798497549,0.3061589798497549
1/2017,0.5038,0.5038,0.20140569730817262,0.20140569730817262
1/2017,0.5259,0.5259,0.09032390029867077,0.09032390029867077
1/2017,0.5157,0.5157,0.006161185537151721,0.006161699776103427
1/2017,0.4852,0.4852,0.0,0.0
1/2017,0.5242,0.5242,0.0,0.0
1/2017,0.5934,0.5934,0.0,0.0
1/2017,0.6847,0.6847,0.0,0.0
1/2017,0.7510,0.7510,0.0,0.0
1/2017,0.7631,0.7631,0.0,0.0
1/2017,0.7665,0.7665,0.0,0.0
1/2017,0.7215,0.7215,0.0,0.0
1/2017,0.6847,0.6847,0.0,0.0
1/2017,0.6689,0.6689,0.0,0.0
1/2017,0.6566,0.6566,0.0,0.0
1/2017,0.6302,0.6302,0.0011840667259686202,0.001183515256639025
1/2017,0.5899,0.5899,0.06619646052558971,0.06619646052558971
1/2017,0.6302,0.6302,0.17941907983417285,0.1794190798341729
1/2017,0.5777,0.5777,0.2990782367395347,0.2990782367395347
1/2017,0.5191,0.5191,0.40908350243261804,0.40908350243261804
1/2017,0.4936,0.4936,0.5042546288272849,0.5042546288272849
1/2017,0.5089,0.5089,0.5681370876612792,0.5681370876612792
1/2017,0.5690,0.5690,0.6142152640663328,0.6142152640663328
1/2017,0.6267,0.6267,0.6058770520240891,0.605877052024089
1/2017,0.6443,0.6443,0.5171750398401976,0.5171750398401976
1/2017,0.6531,0.6531,0.3516634472020799,0.3516634472020799
1/2017,0.6109,0.6109,0.15926807753235225,0.15926807753235225
1/2017,0.5174,0.5174,0.014092411773031154,0.01409605955071561
1/2017,0.4245,0.4245,0.0,0.0
1/2017,0.4023,0.4023,0.0,0.0
1/2017,0.4390,0.4390,0.0,0.0
1/2017,0.4472,0.4472,0.0,0.0
1/2017,0.4165,0.4165,0.0,0.0
1/2017,0.3992,0.3992,0.0,0.0
1/2017,0.3961,0.3961,0.0,0.0
1/2017,0.3853,0.3853,0.0,0.0
1/2017,0.3656,0.3656,0.0,0.0
