Num Graph...........................|...Unid Type  Y/N
133 Minimum gas production           MUV/d      0    0
134 Maximum gas production           MUV/d      0    0
135 Gas production                   MUV/d      2    0
136 Gas production cost              $/UV       0    0
137 Non-electrical gas demand        MUV/d      0    0
138 Pipeline capacity -->            MUV/d      0    0
139 Pipeline capacity <--            MUV/d      0    0
140 Pipeline flow                    MUV/d      2    0
141 CSP nominal capacity             MW         0    0
142 Gas consumption by thermal       MUV/d      2    0
143 Deficit non-elect.gas demand     MUV/d      7    0
144 Gas constraint marginal cost     $/UV       3    0
145 Stored energy by reservoir       GWh        2    0
146 Fuel consumption by thermal      k.unit     2    0
147 Thermal capacity margin          MW         2    0
148 Hydro capacity margin            MW         2    0
149 Thermal single reserve           MW         2    0
150 Thermal joint reserve            MW         2    0
151 Hydro single reserve             MW         2    0
152 Hydro joint reserve              MW         2    0
153 Production factor - SHP          MW/m3/s    2    0
154 Stored energy - SHP              GWh        2    0
155 Minimum outflow marginal cost    k$/m3/s    3    0
156 Hydro Capacity (no outages)      MW         2    0
157 Filtration                       m3/s       2    0
158 Hydro dispatch factor            %          2    0
159 Thermal dispatch factor          %          2    0
160 Evaporation                      m3/s       2    0
161 Load per system - inelastic (MW) MW         0    0
162 Viol. cost of irrigation         k$         8    0
163 Viol. cost of joint reserve      k$         8    0
164 Viol. cost of gen. constraints   k$         8    0
165 Marg. cost hydro single reserve  k$/MW      3    0
166 Marg. cost therm single reserve  k$/MW      3    0
167 DC Link marginal cost            k$/MW      3    0
168 DC Link losses                   MW         2    0
169 CO2 emission cost by thermal     k$         1    0
170 Thermal cost (oper+emissions)    k$         1    0
171 CO2 emission by thermal          tonCO2     2    0
173 Renewable generation             GWh        2    0
174 Renewable Gen. x Bus MargCost    k$         9    0
175 Renewable capacity marg. cost    k$/MW      3    0
176 Available turbined outflow       m3/s       2    0
177 Marginal cost of gen. constraintsk$/MW      3    0
178 AC Circuit loading               %          2    0
183 CO2 Emission unit cost-seg. 1    $/MWh      0    0
185 Viol. of security energy const. bGWh        7    0
186 Viol. of alert energy const. by rGWh        7    0
187 Viol. of flood control energy conGWh        7    0
189 LGC generation                   GWh        2    0
190 LGC revenue                      k$         9    0
191 Limit of Risk Aversion Curve     GWh        0    0
192 Marg. cost Risk Aversion Curve   k$/MWh     3    0
193 Viol. cost Risk Aversion Curve   k$         8    0
198 Battery stored energy (%)        %          2    0
199 Fuel contract min. daily offtake UC         7    0
200 Fuel contract min. daily offtake k$         8    0
203 Circuit overload                 MW         7    0
204 Circuit overload penalty         k$         8    0
216 CO2 Emission unit cost-seg. 2    $/MWh      0    0
217 CO2 Emission unit cost-seg. 3    $/MWh      0    0
220 Initial volume                   hm3        2    0
221 Gas production marginal cost     k$/MUVd    3    0
224 Risk Aversion Curve violation    GWh        7    0
225 AC Circuit flow - circuit outage MW         2    0
226 Circuit  - circuit outage              0    2    0
227 DC Link-circuit outage           GWh        2    0
228 Total flow per AC bus            MW         2    0
229 Load per system - supplied       GWh        2    0
230 Load per bus - supplied          GWh        2    0
231 Load per system - maximum        GWh        0    0
232 Load per class - supplied        GWh        2    0
234 Maximum stored energy 65% U.S.   GWh        0    0
235 Index of island in AC network    Island     0    0
236 Stored energy by reservoir set   GWh        2    0
237 Nominal renewable capacity       MW         0    0
238 Hydro spilled energy             GWh        2    0
239 Total contracted per contract    kUC        0    0
240 Maximum withdrawal per contract  UC/h       0    0
241 Remaining amount per contract    kUC        2    0
242 Amount not consumed per contract kUC        2    0
243 Amount consumed per contract     kUC        2    0
244 Marg. cost of contract add. value$/UC       3    0
245 Max. storage fuel reservoir      kUC        0    0
246 Max. fuel reservoir injection    UC/h       0    0
247 Max. fuel reservoir withdrawal   UC/h       0    0
